Journal Title,ISSN (Print),ISSN (Online),Categories
"Tissue engineering. Part B, Reviews.",1937-3368,1937-3376,Biotechnology; Histology
"Tissue engineering. Part C, Methods.",1937-3384,1937-3392,Biotechnology; Histology
BioMed research international.,2314-6133,2314-6141,Biotechnology; Medicine
Microbial physiology.,2673-1665,2673-1673,Biotechnology; Microbiology
Microbial biotechnology.,,1751-7915,Biotechnology; Microbiology
Microbial cell factories.,,1475-2859,Biotechnology; Microbiology
Journal of industrial microbiology & biotechnology.,1367-5435,1476-5535,Biotechnology; Microbiology
Journal of microbiology and biotechnology.,1017-7825,1738-8872,Biotechnology; Microbiology
World journal of microbiology & biotechnology.,0959-3993,1573-0972,Biotechnology; Microbiology
Applied microbiology and biotechnology.,0175-7598,1432-0614,Biotechnology; Microbiology
ACS synthetic biology.,,2161-5063,Biotechnology; Molecular Biology
Genes & genetic systems.,1341-7568,1880-5779,Biotechnology; Molecular Biology
Molecular biotechnology.,1073-6085,1559-0305,Biotechnology; Molecular Biology
Critical reviews in eukaryotic gene expression.,1045-4403,2162-6502,Biotechnology; Molecular Biology
The EMBO journal.,0261-4189,1460-2075,Biotechnology; Molecular Biology
"Artificial cells, nanomedicine, and biotechnology.",2169-1401,2169-141X,Biotechnology; Nanotechnology
Wiley interdisciplinary reviews. Nanomedicine and nanobiotechnology.,1939-5116,1939-0041,Biotechnology; Nanotechnology
IET nanobiotechnology,1751-8741,1751-875X,Biotechnology; Nanotechnology
"Nanomedicine : nanotechnology, biology, and medicine.",1549-9634,1549-9642,Biotechnology; Nanotechnology
Journal of nanobiotechnology.,,1477-3155,Biotechnology; Nanotechnology
IEEE transactions on nanobioscience.,1536-1241,1558-2639,Biotechnology; Nanotechnology
Current pharmaceutical biotechnology.,1389-2010,1873-4316,Biotechnology; Pharmacology
Lasers in medical science.,0268-8921,1435-604X,Biotechnology; Radiology
Sensors.,,1424-8220,Biotechnology; Technology
Animal biotechnology.,1049-5398,1532-2378,Biotechnology; Zoology
IEEE transactions on computational biology and bioinformatics.,,2998-4165,Computational Biology
Annual review of biomedical data science.,,2574-3414,Computational Biology
NPJ systems biology and applications.,,2056-7189,Computational Biology
"Interdisciplinary sciences, computational life sciences.",1913-2751,1867-1462,Computational Biology
Database : the journal of biological databases and curation.,,1758-0463,Computational Biology
Journal of biomedical semantics.,,2041-1480,Computational Biology
IET systems biology.,1751-8849,1751-8857,Computational Biology
PLoS computational biology.,1553-734X,1553-7358,Computational Biology
Journal of integrative bioinformatics.,,1613-4516,Computational Biology
Journal of bioinformatics and computational biology.,0219-7200,1757-6334,Computational Biology
Briefings in bioinformatics,1467-5463,1477-4054,Computational Biology
BMC bioinformatics.,,1471-2105,Computational Biology
Bioinformatics.,1367-4803,1367-4811,Computational Biology
In silico biology.,1386-6338,1434-3207,Computational Biology
Pacific Symposium on Biocomputing.,2335-6928,2335-6936,Computational Biology
GigaScience.,,2047-217X,Computational Biology; Genetics
Molecular systems biology.,,1744-4292,Computational Biology; Molecular Biology
Omics : a journal of integrative biology.,1536-2310,1557-8100,Computational Biology; Molecular Biology
Journal of computational biology : a journal of computational molecular cell biology.,1066-5277,1557-8666,Computational Biology; Molecular Biology
Journal of computational neuroscience.,0929-5313,1573-6873,Computational Biology; Neurology
Neural networks : the official journal of the International Neural Network Society.,0893-6080,1879-2782,Computational Biology; Neurology
Systems biology in reproductive medicine.,1939-6368,1939-6376,Computational Biology; Reproductive Medicine
Nature computational science.,,2662-8457,Computational Biology; Science
Zygote : the biology of gametes and early embryos.,0967-1994,1469-8730,Embryology
Current topics in developmental biology.,0070-2153,1557-8933,Embryology
Journal of developmental origins of health and disease.,2040-1744,2040-1752,Embryology; Medicine
Placenta.,0143-4004,1532-3102,Embryology; Obstetrics; Physiology
Early human development.,0378-3782,1872-6232,Embryology; Pediatrics; Perinatology
Human reproduction update.,1355-4786,1460-2369,Embryology; Reproductive Medicine
Reproductive toxicology.,0890-6238,1873-1708,Embryology; Reproductive Medicine; Toxicology
Birth defects research.,,2472-1727,Embryology; Teratology; Toxicology
Cell genomics.,,2666-979X,Genetics
HGG advances.,,2666-2477,Genetics
BMC genomic data.,,2730-6844,Genetics
Epigenomics.,1750-1911,1750-192X,Genetics
Briefings in functional genomics.,2041-2649,2041-2657,Genetics
Genes.,,2073-4425,Genetics
Genes & genomics.,1976-9571,2092-9293,Genetics
Genetics research.,0016-6723,1469-5073,Genetics
Epigenetics.,1559-2294,1559-2308,Genetics
Journal of genetics and genomics = Yi chuan xue bao.,1673-8527,,Genetics
PLoS genetics.,1553-7390,1553-7404,Genetics
Cytogenetic and genome research.,1424-8581,1424-859X,Genetics
Human genomics.,1473-9542,1479-7364,Genetics
BMC genomics.,,1471-2164,Genetics
Genome biology.,1474-7596,1474-760X,Genetics
Nature reviews. Genetics.,1471-0056,1471-0064,Genetics
Mutation research. Reviews in mutation research.,1383-5742,1388-2139,Genetics
Journal of applied genetics.,1234-1983,2190-3883,Genetics
Genome research.,1088-9051,1549-5469,Genetics
Mammalian genome : official journal of the International Mammalian Genome Society.,0938-8990,1432-1777,Genetics
Current opinion in genetics & development.,0959-437X,1879-0380,Genetics
Genome,0831-2796,1480-3321,Genetics
Genomics.,0888-7543,1089-8646,Genetics
Trends in genetics : TIG.,0168-9525,,Genetics
Yi chuan = Hereditas,0253-9772,,Genetics
Plasmid.,0147-619X,1095-9890,Genetics
Annual review of genetics.,0066-4197,1545-2948,Genetics
TAG. Theoretical and applied genetics.  Theoretische und angewandte Genetik.,0040-5752,1432-2242,Genetics
Mutation research.,0027-5107,1873-135X,Genetics
Heredity.,0018-067X,1365-2540,Genetics
Genetica.,0016-6707,1573-6857,Genetics
Genetics.,0016-6731,1943-2631,Genetics
Hereditas.,0018-0661,1601-5223,Genetics
The Journal of heredity.,0022-1503,1465-7333,Genetics
Journal of genetics.,0022-1333,0973-7731,Genetics
Clinical epigenetics.,1868-7075,1868-7083,"Genetics, Medical"
BMC medical genomics.,,1755-8794,"Genetics, Medical"
Genome medicine.,,1756-994X,"Genetics, Medical"
Twin research and human genetics : the official journal of the International Society for Twin Studies.,1832-4274,1839-2628,"Genetics, Medical"
European journal of medical genetics.,1769-7212,1878-0849,"Genetics, Medical"
American journal of medical genetics. Part A.,1552-4825,1552-4833,"Genetics, Medical"
"American journal of medical genetics. Part C, Seminars in medical genetics.",1552-4868,1552-4876,"Genetics, Medical"
Journal of human genetics.,1434-5161,1435-232X,"Genetics, Medical"
Genetics in medicine : official journal of the American College of Medical Genetics.,1098-3600,1530-0366,"Genetics, Medical"
Journal of genetic counseling.,1059-7700,1573-3599,"Genetics, Medical"
Human mutation.,1059-7794,1098-1004,"Genetics, Medical"
Nature genetics.,1061-4036,1546-1718,"Genetics, Medical"
European journal of human genetics : EJHG.,1018-4813,1476-5438,"Genetics, Medical"
Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics.,1003-9406,,"Genetics, Medical"
Human genetics.,0340-6717,1432-1203,"Genetics, Medical"
Clinical genetics.,0009-9163,1399-0004,"Genetics, Medical"
Human heredity.,0001-5652,1423-0062,"Genetics, Medical"
Journal of medical genetics.,0022-2593,1468-6244,"Genetics, Medical"
Annals of human genetics.,0003-4800,1469-1809,"Genetics, Medical"
Advances in genetics.,0065-2660,,"Genetics, Medical"
American journal of human genetics.,0002-9297,1537-6605,"Genetics, Medical"
EBioMedicine.,,2352-3964,"Genetics, Medical; Medicine"
Personalized medicine.,1741-0541,1744-828X,"Genetics, Medical; Medicine"
Molecular genetics & genomic medicine.,,2324-9269,"Genetics, Medical; Molecular Biology"
The journal of gene medicine.,1099-498X,1521-2254,"Genetics, Medical; Molecular Biology"
International journal of molecular medicine.,1107-3756,1791-244X,"Genetics, Medical; Molecular Biology"
"Journal of molecular medicine : official organ of the ""Gesellschaft Deutscher Naturforscher und Ärzte"".",0946-2716,1432-1440,"Genetics, Medical; Molecular Biology"
Human molecular genetics.,0964-6906,1460-2083,"Genetics, Medical; Molecular Biology"
Cancer genetics.,2210-7762,,"Genetics, Medical; Neoplasms"
Cancer gene therapy.,0929-1903,1476-5500,"Genetics, Medical; Neoplasms; Therapeutics"
Journal of neurogenetics.,0167-7063,1563-5260,"Genetics, Medical; Neurology"
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics.",1552-4841,1552-485X,"Genetics, Medical; Neurology; Psychiatry"
Ophthalmic genetics.,1381-6810,1744-5094,"Genetics, Medical; Ophthalmology"
Pharmacogenetics and genomics.,1744-6872,1744-6880,"Genetics, Medical; Pharmacology"
Pharmacogenomics.,1462-2416,1744-8042,"Genetics, Medical; Pharmacology"
Public health genomics.,1662-4246,1662-8063,"Genetics, Medical; Public Health"
Theoretical population biology.,0040-5809,1096-0325,"Genetics, Medical; Reproductive Medicine"
Current gene therapy.,1566-5232,1875-5631,"Genetics, Medical; Therapeutics"
Gene therapy.,0969-7128,1476-5462,"Genetics, Medical; Therapeutics"
Human gene therapy.,1043-0342,1557-7422,"Genetics, Medical; Therapeutics"
Annual review of genomics and human genetics.,1527-8204,1545-293X,"Genetics; Genetics, Medical"
Microbial genomics.,,2057-5858,Genetics; Microbiology
Microbiome.,,2049-2618,Genetics; Microbiology
Fungal genetics and biology : FG & B.,1087-1845,1096-0937,Genetics; Microbiology
G3 : genes - genomes - genetics.,,2160-1836,Genetics; Molecular Biology
Genetic testing and molecular biomarkers.,1945-0265,1945-0257,Genetics; Molecular Biology
Molecular genetics and genomics : MGG.,1617-4615,1617-4623,Genetics; Molecular Biology
Functional & integrative genomics.,1438-793X,1438-7948,Genetics; Molecular Biology
DNA research : an international journal for rapid publication of reports on genes and genomes.,1340-2838,1756-1663,Genetics; Molecular Biology
Statistical applications in genetics and molecular biology.,2194-6302,1544-6115,Genetics; Molecular Biology; Statistics as Topic
Neurogenetics.,1364-6745,1364-6753,Genetics; Neurology
Lifestyle genomics.,2504-3161,2504-3188,Genetics; Nutritional Sciences
Molecular autism.,,2040-2392,Genetics; Psychiatry
Psychiatric genetics.,0955-8829,1473-5873,Genetics; Psychiatry
Radiation research.,0033-7587,1938-5404,Genetics; Radiology
Journal of assisted reproduction and genetics.,1058-0468,1573-7330,Genetics; Reproductive Medicine
Journal of animal breeding and genetics = Zeitschrift für Tierzüchtung und Züchtungsbiologie.,0931-2668,1439-0388,Genetics; Reproductive Medicine; Veterinary Medicine; Zoology
Invertebrate systematics.,1445-5226,1447-2600,Genetics; Zoology
Animal genetics.,0268-9146,1365-2052,Genetics; Zoology
The CRISPR journal.,2573-1599,2573-1602,Molecular Biology
SLAS discovery : advancing life sciences R & D.,2472-5552,2472-5560,Molecular Biology
Journal of molecular cell biology.,1674-2788,1759-4685,Molecular Biology
Transcription.,2154-1264,2154-1272,Molecular Biology
Wiley interdisciplinary reviews. RNA.,1757-7004,1757-7012,Molecular Biology
Molecular medicine reports.,1791-2997,1791-3004,Molecular Biology
EMBO molecular medicine.,1757-4676,1757-4684,Molecular Biology
Progress in molecular biology and translational science.,1877-1173,1878-0814,Molecular Biology
Nature structural & molecular biology.,1545-9993,1545-9985,Molecular Biology
RNA biology.,1547-6286,1555-8584,Molecular Biology
Gene expression patterns : GEP.,1567-133X,1872-7298,Molecular Biology
Trends in molecular medicine.,1471-4914,1471-499X,Molecular Biology
Current molecular medicine.,1566-5240,1875-5666,Molecular Biology
Expert review of molecular diagnostics.,1473-7159,1744-8352,Molecular Biology
Physiological genomics.,1094-8341,1531-2267,Molecular Biology
The Journal of molecular diagnostics : JMD.,1525-1578,1943-7811,Molecular Biology
Genesis : the journal of genetics and development.,1526-954X,1526-968X,Molecular Biology
Nature reviews. Molecular cell biology.,1471-0072,1471-0080,Molecular Biology
EMBO reports.,1469-221X,1469-3178,Molecular Biology
Journal of molecular graphics & modelling.,1093-3263,1873-4243,Molecular Biology
Expert reviews in molecular medicine.,,1462-3994,Molecular Biology
RNA.,1355-8382,1469-9001,Molecular Biology
Molecular diversity.,1381-1991,1573-501X,Molecular Biology
"Spectrochimica acta. Part A, Molecular and biomolecular spectroscopy.",1386-1425,1873-3557,Molecular Biology
Journal of molecular modeling.,1610-2940,0948-5023,Molecular Biology
Molecular medicine.,1076-1551,1528-3658,Molecular Biology
"Chromosome research : an international journal on the molecular, supramolecular and evolutionary aspects of chromosome biology.",0967-3849,1573-6849,Molecular Biology
Protein expression and purification.,1046-5928,1096-0279,Molecular Biology
Transgenic research.,0962-8819,1573-9368,Molecular Biology
Journal of molecular recognition : JMR.,0952-3499,1099-1352,Molecular Biology
Genes & development.,0890-9369,1549-5477,Molecular Biology
Molecular biology and evolution.,0737-4038,1537-1719,Molecular Biology
Methods in molecular biology.,1064-3745,1940-6029,Molecular Biology
Molecular aspects of medicine.,0098-2997,1872-9452,Molecular Biology
Gene.,0378-1119,1879-0038,Molecular Biology
Journal of molecular evolution.,0022-2844,1432-1432,Molecular Biology
Molecular biology reports.,0301-4851,1573-4978,Molecular Biology
Molekuliarnaia biologiia.,0026-8984,,Molecular Biology
Biochemical genetics.,0006-2928,1573-4927,Molecular Biology
The Journal of membrane biology.,0022-2631,1432-1424,Molecular Biology
Journal of molecular biology.,0022-2836,1089-8638,Molecular Biology
Molecular oncology.,1574-7891,1878-0261,Molecular Biology; Neoplasms
Molecular carcinogenesis.,0899-1987,1098-2744,Molecular Biology; Neoplasms
"Genes, chromosomes & cancer.",1045-2257,1098-2264,Molecular Biology; Neoplasms
Oncogene.,0950-9232,1476-5594,Molecular Biology; Neoplasms
Molecular neurodegeneration.,,1750-1326,Molecular Biology; Neurology
Neuromolecular medicine.,1535-1084,1559-1174,Molecular Biology; Neurology
Journal of molecular neuroscience : MN.,0895-8696,1559-1166,Molecular Biology; Neurology
Molecular neurobiology.,0893-7648,1559-1182,Molecular Biology; Neurology
Molecular pain,,1744-8069,Molecular Biology; Neurology; Psychophysiology
Biomolecular NMR assignments.,1874-2718,1874-270X,Molecular Biology; Nuclear Medicine
Journal of biomolecular NMR.,0925-2738,1573-5001,Molecular Biology; Nuclear Medicine
Molecular vision.,,1090-0535,Molecular Biology; Ophthalmology
Experimental and molecular pathology.,0014-4800,1096-0945,Molecular Biology; Pathology
Molecular pharmaceutics.,1543-8384,1543-8392,Molecular Biology; Pharmacology
The pharmacogenomics journal.,1470-269X,1473-1150,Molecular Biology; Pharmacology
Molecular pharmacology.,0026-895X,1521-0111,Molecular Biology; Pharmacology
"Comparative biochemistry and physiology. Part A, Molecular & integrative physiology.",1095-6433,1531-4332,Molecular Biology; Physiology
Molecular psychiatry.,1359-4184,1476-5578,Molecular Biology; Psychiatry
Molecular human reproduction.,1360-9947,1460-2407,Molecular Biology; Reproductive Medicine
Molecular reproduction and development.,1040-452X,1098-2795,Molecular Biology; Reproductive Medicine
Molecular therapy : the journal of the American Society of Gene Therapy.,1525-0016,1525-0024,Molecular Biology; Therapeutics
Virus genes.,0920-8569,1572-994X,Molecular Biology; Virology
"Journal of experimental zoology. Part B, Molecular and developmental evolution.",1552-5007,1552-5015,Molecular Biology; Zoology
Insect molecular biology.,0962-1075,1365-2583,Molecular Biology; Zoology
